text,label
"I am showing signs of fatigue, weight loss, restlessness, lethargy, irregular sugar level, obesity, excessive hunger, increased appetite, and polyuria.",Diabetes
"I feel like I have fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, excessive hunger, increased appetite, and polyuria.",Diabetes
"I am suffering from fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, increased appetite, and polyuria.",Diabetes
"I have been experiencing vomiting, sunken eyes, dehydration, and diarrhoea.",Gastroenteritis
"My symptoms include vomiting, sunken eyes, dehydration, and diarrhoea.",Gastroenteritis
"Recently I got sunken eyes, dehydration, and diarrhoea.",Gastroenteritis
"I am showing signs of vomiting, dehydration, and diarrhoea.",Gastroenteritis
"I feel like I have vomiting, sunken eyes, and diarrhoea.",Gastroenteritis
"I am suffering from vomiting, sunken eyes, and dehydration.",Gastroenteritis
"I have been experiencing vomiting, sunken eyes, dehydration, and diarrhoea.",Gastroenteritis
"My symptoms include sunken eyes, dehydration, and diarrhoea.",Gastroenteritis
"Recently I got vomiting, dehydration, and diarrhoea.",Gastroenteritis
"I am showing signs of vomiting, sunken eyes, and diarrhoea.",Gastroenteritis
"I feel like I have fatigue, cough, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"I am suffering from cough, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"I have been experiencing fatigue, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"My symptoms include fatigue, cough, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"Recently I got fatigue, cough, high fever, family history, and mucoid sputum.",Bronchial Asthma
"I am showing signs of fatigue, cough, high fever, breathlessness, and mucoid sputum.",Bronchial Asthma
"I feel like I have fatigue, cough, high fever, breathlessness, and family history.",Bronchial Asthma
"I am suffering from fatigue, cough, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"I have been experiencing cough, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"My symptoms include fatigue, high fever, breathlessness, family history, and mucoid sputum.",Bronchial Asthma
"Recently I got headache, chest pain, dizziness, loss of balance, and lack of concentration.",Hypertension
"I am showing signs of chest pain, dizziness, loss of balance, and lack of concentration.",Hypertension
"I feel like I have headache, dizziness, loss of balance, and lack of concentration.",Hypertension
"I am suffering from headache, chest pain, loss of balance, and lack of concentration.",Hypertension
"I have been experiencing headache, chest pain, dizziness, and lack of concentration.",Hypertension
"My symptoms include headache, chest pain, dizziness, and loss of balance.",Hypertension
"Recently I got headache, chest pain, dizziness, loss of balance, and lack of concentration.",Hypertension
"I am showing signs of chest pain, dizziness, loss of balance, and lack of concentration.",Hypertension
"I feel like I have headache, dizziness, loss of balance, and lack of concentration.",Hypertension
"I am suffering from headache, chest pain, loss of balance, and lack of concentration.",Hypertension
"I have been experiencing acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, and visual disturbances.",Migraine
"My symptoms include indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, and visual disturbances.",Migraine
"Recently I got acidity, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, and visual disturbances.",Migraine
"I am showing signs of acidity, indigestion, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, and visual disturbances.",Migraine
"I feel like I have acidity, indigestion, headache, excessive hunger, stiff neck, depression, irritability, and visual disturbances.",Migraine
"I am suffering from acidity, indigestion, headache, blurred and distorted vision, stiff neck, depression, irritability, and visual disturbances.",Migraine
"I have been experiencing acidity, indigestion, headache, blurred and distorted vision, excessive hunger, depression, irritability, and visual disturbances.",Migraine
"My symptoms include acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, irritability, and visual disturbances.",Migraine
"Recently I got acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, and visual disturbances.",Migraine
"I am showing signs of acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, and irritability.",Migraine
"I feel like I have back pain, weakness in limbs, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"I am suffering from back pain, weakness in limbs, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"I have been experiencing weakness in limbs, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"My symptoms include back pain, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"Recently I got back pain, weakness in limbs, dizziness, and loss of balance.",Cervical spondylosis
"I am showing signs of back pain, weakness in limbs, neck pain, and loss of balance.",Cervical spondylosis
"I feel like I have back pain, weakness in limbs, neck pain, and dizziness.",Cervical spondylosis
"I am suffering from back pain, weakness in limbs, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"I have been experiencing weakness in limbs, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"My symptoms include back pain, neck pain, dizziness, and loss of balance.",Cervical spondylosis
"Recently I got vomiting, headache, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I am showing signs of vomiting, headache, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I feel like I have headache, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I am suffering from vomiting, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I have been experiencing vomiting, headache, and altered sensorium.",Paralysis (brain hemorrhage)
"My symptoms include vomiting, headache, and weakness of one body side.",Paralysis (brain hemorrhage)
"Recently I got vomiting, headache, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I am showing signs of headache, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I feel like I have vomiting, weakness of one body side, and altered sensorium.",Paralysis (brain hemorrhage)
"I am suffering from vomiting, headache, and altered sensorium.",Paralysis (brain hemorrhage)
"I have been experiencing itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"My symptoms include itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"Recently I got vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"I am showing signs of itching, fatigue, weight loss, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"I feel like I have itching, vomiting, weight loss, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"I am suffering from itching, vomiting, fatigue, high fever, yellowish skin, dark urine, and abdominal pain.",Jaundice
"I have been experiencing itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, and abdominal pain.",Jaundice
"My symptoms include itching, vomiting, fatigue, weight loss, high fever, dark urine, and abdominal pain.",Jaundice
"Recently I got itching, vomiting, fatigue, weight loss, high fever, yellowish skin, and abdominal pain.",Jaundice
"I am showing signs of itching, vomiting, fatigue, weight loss, high fever, yellowish skin, and dark urine.",Jaundice
"I feel like I have chills, vomiting, high fever, sweating, headache, nausea, and muscle pain.",Malaria
"I am suffering from chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, and muscle pain.",Malaria
"I have been experiencing chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, and muscle pain.",Malaria
"My symptoms include vomiting, high fever, sweating, headache, nausea, diarrhoea, and muscle pain.",Malaria
"Recently I got chills, high fever, sweating, headache, nausea, diarrhoea, and muscle pain.",Malaria
"I am showing signs of chills, vomiting, sweating, headache, nausea, diarrhoea, and muscle pain.",Malaria
"I feel like I have chills, vomiting, high fever, headache, nausea, diarrhoea, and muscle pain.",Malaria
"I am suffering from chills, vomiting, high fever, sweating, nausea, diarrhoea, and muscle pain.",Malaria
"I have been experiencing chills, vomiting, high fever, sweating, headache, diarrhoea, and muscle pain.",Malaria
"My symptoms include chills, vomiting, high fever, sweating, headache, nausea, and muscle pain.",Malaria
"Recently I got itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I am showing signs of skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I feel like I have itching, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I am suffering from itching, skin rash, lethargy, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I have been experiencing itching, skin rash, fatigue, high fever, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"My symptoms include itching, skin rash, fatigue, lethargy, headache, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"Recently I got itching, skin rash, fatigue, lethargy, high fever, loss of appetite, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I am showing signs of itching, skin rash, fatigue, lethargy, high fever, headache, mild fever, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I feel like I have itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, swelled lymph nodes, malaise, and red spots over body.",Chicken pox
"I am suffering from itching, skin rash, fatigue, lethargy, high fever, headache, loss of appetite, mild fever, malaise, and red spots over body.",Chicken pox
"I have been experiencing skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, muscle pain, and red spots over body.",Dengue
"My symptoms include skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, and red spots over body.",Dengue
"Recently I got skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, and muscle pain.",Dengue
"I am showing signs of skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"I feel like I have chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"I am suffering from skin rash, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"I have been experiencing skin rash, chills, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"My symptoms include skin rash, chills, joint pain, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"Recently I got skin rash, chills, joint pain, vomiting, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"I am showing signs of skin rash, chills, joint pain, vomiting, fatigue, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, and red spots over body.",Dengue
"I feel like I have chills, vomiting, fatigue, high fever, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"I am suffering from chills, vomiting, fatigue, high fever, headache, constipation, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"I have been experiencing chills, vomiting, fatigue, high fever, headache, nausea, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"My symptoms include chills, vomiting, fatigue, high fever, headache, nausea, constipation, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"Recently I got chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, toxic look (typhos), and belly pain.",Typhoid
"I am showing signs of chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, and belly pain.",Typhoid
"I feel like I have chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, and toxic look (typhos).",Typhoid
"I am suffering from chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"I have been experiencing chills, vomiting, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"My symptoms include chills, fatigue, high fever, headache, nausea, constipation, abdominal pain, diarrhoea, toxic look (typhos), and belly pain.",Typhoid
"Recently I got joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I am showing signs of joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I feel like I have vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I am suffering from joint pain, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I have been experiencing joint pain, vomiting, dark urine, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"My symptoms include joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"Recently I got joint pain, vomiting, yellowish skin, dark urine, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I am showing signs of joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I feel like I have joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, diarrhoea, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I am suffering from joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, mild fever, yellowing of eyes, and muscle pain.",hepatitis A
"I have been experiencing itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"My symptoms include itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"Recently I got fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I am showing signs of itching, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I feel like I have itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I am suffering from itching, fatigue, lethargy, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I have been experiencing itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"My symptoms include itching, fatigue, lethargy, yellowish skin, dark urine, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"Recently I got itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I am showing signs of itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, malaise, receiving blood transfusion, and receiving unsterile injections.",Hepatitis B
"I feel like I have fatigue, yellowish skin, nausea, loss of appetite, and family history.",Hepatitis C
"I am suffering from fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"I have been experiencing yellowish skin, nausea, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"My symptoms include fatigue, nausea, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"Recently I got fatigue, yellowish skin, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"I am showing signs of fatigue, yellowish skin, nausea, yellowing of eyes, and family history.",Hepatitis C
"I feel like I have fatigue, yellowish skin, nausea, loss of appetite, and family history.",Hepatitis C
"I am suffering from fatigue, yellowish skin, nausea, loss of appetite, and yellowing of eyes.",Hepatitis C
"I have been experiencing fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"My symptoms include fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes, and family history.",Hepatitis C
"Recently I got joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"I am showing signs of vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"I feel like I have joint pain, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"I am suffering from joint pain, vomiting, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"I have been experiencing joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"My symptoms include joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"Recently I got joint pain, vomiting, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, and yellowing of eyes.",Hepatitis D
"I am showing signs of joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, and yellowing of eyes.",Hepatitis D
"I feel like I have joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, and yellowing of eyes.",Hepatitis D
"I am suffering from joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, and abdominal pain.",Hepatitis D
"I have been experiencing joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, coma, and stomach bleeding.",Hepatitis E
"My symptoms include joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"Recently I got joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I am showing signs of vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I feel like I have joint pain, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I am suffering from joint pain, vomiting, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I have been experiencing joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"My symptoms include joint pain, vomiting, fatigue, high fever, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"Recently I got joint pain, vomiting, fatigue, high fever, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I am showing signs of joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, and stomach bleeding.",Hepatitis E
"I feel like I have vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"I am suffering from vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"I have been experiencing yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"My symptoms include vomiting, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"Recently I got vomiting, yellowish skin, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"I am showing signs of vomiting, yellowish skin, abdominal pain, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"I feel like I have vomiting, yellowish skin, abdominal pain, swelling of stomach, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"I am suffering from vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, and fluid overload.1.",Alcoholic hepatitis
"I have been experiencing vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, and history of alcohol consumption.",Alcoholic hepatitis
"My symptoms include vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, and fluid overload.1.",Alcoholic hepatitis
"Recently I got chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, and blood in sputum.",Tuberculosis
